"day","account_id","adset_name","division","lob","segment","objective","inquiries","spend"
"2026-03-01","243865164","[CH] (ARS) ENGAGEMENT [BMKT] - BAU PC Bundles perpetual - Engagement","Retail","Desktop","Desktop Engagement","Engagement","7","0"
"2026-03-01","243865164","Expert-Ease Service Engagement Ads (General)","Retail","Desktop","Expert-ease","Engagement","0","0"
"2026-03-01","243865164","BAU Desktop Inquiry Ads (2026) - Gaming","Retail","Desktop","Gaming","Inquiry","14","0"
"2026-03-01","243865164","BAU Desktop Inquiry Ads (2026) - High-end Gamer","Retail","Desktop","High-end Gamer","Inquiry","183","9030.08"
"2026-03-01","243865164","BAU Desktop Inquiry Ads (2026) - Productivity","Retail","Desktop","Productivity","Inquiry","1","0"
"2026-03-02","243865164","[CH] (ARS) ENGAGEMENT [BMKT] - BAU PC Bundles perpetual - Engagement","Retail","Desktop","Desktop Engagement","Engagement","2","0"
"2026-03-02","243865164","Expert-Ease Service Engagement Ads (General)","Retail","Desktop","Expert-ease","Engagement","0","0"
"2026-03-02","243865164","BAU Desktop Inquiry Ads (2026) - Gaming","Retail","Desktop","Gaming","Inquiry","9","0"
"2026-03-02","243865164","BAU Desktop Inquiry Ads (2026) - High-end Gamer","Retail","Desktop","High-end Gamer","Inquiry","206","9620.96"
"2026-03-02","243865164","BAU Desktop Inquiry Ads (2026) - Productivity","Retail","Desktop","Productivity","Inquiry","1","0"
"2026-03-03","243865164","[CH] (ARS) ENGAGEMENT [BMKT] - BAU PC Bundles perpetual - Engagement","Retail","Desktop","Desktop Engagement","Engagement","3","0"
"2026-03-03","243865164","Expert-Ease Service Engagement Ads (General)","Retail","Desktop","Expert-ease","Engagement","0","0"
"2026-03-03","243865164","BAU Desktop Inquiry Ads (2026) - Gaming","Retail","Desktop","Gaming","Inquiry","4","0"
"2026-03-03","243865164","BAU Desktop Inquiry Ads (2026) - High-end Gamer","Retail","Desktop","High-end Gamer","Inquiry","194","10002.95"
"2026-03-03","243865164","BAU Desktop Inquiry Ads (2026) - Productivity","Retail","Desktop","Productivity","Inquiry","0","0"
"2026-03-04","243865164","[CH] (ARS) ENGAGEMENT [BMKT] - BAU PC Bundles perpetual - Engagement","Retail","Desktop","Desktop Engagement","Engagement","0","0"
"2026-03-04","243865164","Expert-Ease Service Engagement Ads (General)","Retail","Desktop","Expert-ease","Engagement","1","0"
"2026-03-04","243865164","BAU Desktop Inquiry Ads (2026) - Gaming","Retail","Desktop","Gaming","Inquiry","1","0"
"2026-03-04","2357962881356079","BAU Desktop Inquiry Ads (2026) - Gaming","Retail","Desktop","Gaming","Inquiry","58","2013.47"
"2026-03-04","243865164","BAU Desktop Inquiry Ads (2026) - High-end Gamer","Retail","Desktop","High-end Gamer","Inquiry","180","8195.72"
"2026-03-05","243865164","[CH] (ARS) ENGAGEMENT [BMKT] - BAU PC Bundles perpetual - Engagement","Retail","Desktop","Desktop Engagement","Engagement","1","0"
"2026-03-05","243865164","Expert-Ease Service Engagement Ads (General)","Retail","Desktop","Expert-ease","Engagement","1","0"
"2026-03-05","243865164","BAU Desktop Inquiry Ads (2026) - Gaming","Retail","Desktop","Gaming","Inquiry","3","0"
"2026-03-05","2357962881356079","BAU Desktop Inquiry Ads (2026) - Gaming","Retail","Desktop","Gaming","Inquiry","96","2324.34"
"2026-03-05","243865164","BAU Desktop Inquiry Ads (2026) - High-end Gamer","Retail","Desktop","High-end Gamer","Inquiry","156","7984.24"
"2026-03-05","243865164","BAU Desktop Inquiry Ads (2026) - Productivity","Retail","Desktop","Productivity","Inquiry","0","0"
"2026-03-06","243865164","[CH] (ARS) ENGAGEMENT [BMKT] - BAU PC Bundles perpetual - Engagement","Retail","Desktop","Desktop Engagement","Engagement","1","0"
"2026-03-06","2357962881356079","BAU Desktop Inquiry Ads (2026) - Gaming","Retail","Desktop","Gaming","Inquiry","30","1115.31"
"2026-03-06","243865164","BAU Desktop Inquiry Ads (2026) - High-end Gamer","Retail","Desktop","High-end Gamer","Inquiry","123","4450.5"
"2026-03-06","2357962881356079","BAU Desktop Inquiry Ads (2026) - High-end Gamer","Retail","Desktop","High-end Gamer","Inquiry","12","4183.03"
"2026-03-07","2357962881356079","BAU Desktop Inquiry Ads (2026) - Gaming","Retail","Desktop","Gaming","Inquiry","268","10317.81"
"2026-03-07","243865164","BAU Desktop Inquiry Ads (2026) - High-end Gamer","Retail","Desktop","High-end Gamer","Inquiry","18","0"
"2026-03-07","2357962881356079","BAU Desktop Inquiry Ads (2026) - High-end Gamer","Retail","Desktop","High-end Gamer","Inquiry","89","4291.62"
"2026-03-08","2357962881356079","BAU Desktop Inquiry Ads (2026) - Gaming","Retail","Desktop","Gaming","Inquiry","230","9322.77"
"2026-03-08","243865164","BAU Desktop Inquiry Ads (2026) - High-end Gamer","Retail","Desktop","High-end Gamer","Inquiry","11","0"
"2026-03-08","2357962881356079","BAU Desktop Inquiry Ads (2026) - High-end Gamer","Retail","Desktop","High-end Gamer","Inquiry","147","7376.98"
"2026-03-09","2357962881356079","BAU Desktop Inquiry Ads (2026) - Gaming","Retail","Desktop","Gaming","Inquiry","189","8323.36"
"2026-03-09","243865164","BAU Desktop Inquiry Ads (2026) - High-end Gamer","Retail","Desktop","High-end Gamer","Inquiry","7","0"
"2026-03-09","2357962881356079","BAU Desktop Inquiry Ads (2026) - High-end Gamer","Retail","Desktop","High-end Gamer","Inquiry","164","6368.38"
"2026-03-10","2357962881356079","BAU PC Bundles Perpetual - Engagement Ad Set","Retail","Desktop","Desktop Engagement","Engagement","1","544.13"
"2026-03-10","2357962881356079","BAU Desktop Inquiry Ads (2026) - Gaming","Retail","Desktop","Gaming","Inquiry","210","9657.77"
"2026-03-10","243865164","BAU Desktop Inquiry Ads (2026) - High-end Gamer","Retail","Desktop","High-end Gamer","Inquiry","6","0"
"2026-03-10","2357962881356079","BAU Desktop Inquiry Ads (2026) - High-end Gamer","Retail","Desktop","High-end Gamer","Inquiry","196","6105.89"
"2026-03-11","2357962881356079","BAU PC Bundles Perpetual - Engagement Ad Set","Retail","Desktop","Desktop Engagement","Engagement","9","904.85"
"2026-03-11","2357962881356079","BAU Desktop Inquiry Ads (2026) - Gaming","Retail","Desktop","Gaming","Inquiry","316","19956.41"
"2026-03-11","243865164","BAU Desktop Inquiry Ads (2026) - High-end Gamer","Retail","Desktop","High-end Gamer","Inquiry","7","0"
"2026-03-11","2357962881356079","BAU Desktop Inquiry Ads (2026) - High-end Gamer","Retail","Desktop","High-end Gamer","Inquiry","337","9534.17"
"2026-03-11","2357962881356079","BAU Desktop Inquiry Ads (2026) - Productivity","Retail","Desktop","Productivity","Inquiry","0","0.15"
"2026-03-12","2357962881356079","BAU PC Bundles Perpetual - Engagement Ad Set","Retail","Desktop","Desktop Engagement","Engagement","7","965.31"
"2026-03-12","243865164","Expert-Ease Service Engagement Ads (General)","Retail","Desktop","Expert-ease","Engagement","3","1625.18"
"2026-03-12","2357962881356079","BAU Desktop Inquiry Ads (2026) - Gaming","Retail","Desktop","Gaming","Inquiry","197","12147.91"
"2026-03-12","243865164","BAU Desktop Inquiry Ads (2026) - High-end Gamer","Retail","Desktop","High-end Gamer","Inquiry","3","0"
"2026-03-12","2357962881356079","BAU Desktop Inquiry Ads (2026) - High-end Gamer","Retail","Desktop","High-end Gamer","Inquiry","361","10236.38"
"2026-03-12","2357962881356079","BAU Desktop Inquiry Ads (2026) - Productivity","Retail","Desktop","Productivity","Inquiry","113","8140.95"
"2026-03-13","2357962881356079","BAU PC Bundles Perpetual - Engagement Ad Set","Retail","Desktop","Desktop Engagement","Engagement","3","885.92"
"2026-03-13","243865164","Expert-Ease Service Engagement Ads (General)","Retail","Desktop","Expert-ease","Engagement","7","1973.91"
"2026-03-13","2357962881356079","BAU Desktop Inquiry Ads (2026) - Gaming","Retail","Desktop","Gaming","Inquiry","174","11352.64"
